id,default_airport_code,country_code,country_name,continent_name,longitude,latitude,city_name
30000016,ADE,YE,Yemen,Asia Minor,45.0299987792969,12.789999961853,Aden
30001601,SAH,YE,Yemen,Asia Minor,44.2074546813965,15.3520288467407,Sanaa
30000134,GYD,AZ,Azerbaijan,Asia,49.860000610351562,40.389999389648438,Baku
90486328,OMS,RU,Russia,Europe,73.3907318115234,54.975643157959,Omsk
30000065,AMM,JO,Jordan,Asia Minor,35.9300003051758,31.9500007629395,Amman
30000090,AQJ,JO,Jordan,Asia Minor,35.0072288513184,29.5234394073486,Aqaba
30000373,CGP,BD,Bangladesh,Asia,91.8099975585938,22.3299999237061,Chittagong
30000478,DAC,BD,Bangladesh,Asia,90.3899993896484,23.7000007629395,Dhaka
30000009,AUH,AE,United Arab Emirates,Asia Minor,54.3699989318848,24.4799995422363,Abu Dhabi
30000502,DXB,AE,United Arab Emirates,Asia Minor,55.3116683959961,25.2644443511963,Dubai
30001655,SHJ,AE,United Arab Emirates,Asia Minor,55.4099998474121,25.3700008392334,Sharjah
90481848,KBL,AF,Afghanistan,Asia Minor,69.1699981689453,34.5299987792969,Kabul
30000488,DOH,QA,Qatar,Asia Minor,51.5099983215332,25.2999992370605,Doha
30000360,CJU,KR,South Korea,Asia,126.519996643066,33.5099983215332,Cheju
30001466,PUS,KR,South Korea,Asia,129.075637817383,35.1795501708984,Pusan
30001647,SEL,KR,South Korea,Asia,126.98999786377,37.560001373291,Seoul
30001753,TAE,KR,South Korea,Asia,128.600006103516,35.8699989318848,Taegu
30001985,RSU,KR,South Korea,Asia,127.73999786377,34.7400016784668,Yosu
30000087,AOJ,JP,Japan,Asia,140.66667175293,40.783332824707,Aomori
30000103,AKJ,JP,Japan,Asia,142.360000610352,43.7700004577637,Asahikawa
30000596,FUK,JP,Japan,Asia,130.401733398438,33.5903015136719,Fukuoka
30000723,HIW,JP,Japan,Asia,132.440002441406,34.3899993896484,Hiroshima
30000834,KOJ,JP,Japan,Asia,130.559997558594,31.5900001525879,Kagoshima
30000925,KMJ,JP,Japan,Asia,130.716659545898,32.7999992370605,Kumamoto
30001151,MSJ,JP,Japan,Asia,141.339996337891,40.6800003051758,Misawa
30001210,NGS,JP,Japan,Asia,129.880004882812,32.75,Nagasaki
30001211,NGO,JP,Japan,Asia,136.910003662109,35.1500015258789,Nagoya
30001296,OIT,JP,Japan,Asia,131.600006103516,33.25,Oita
30001297,OKJ,JP,Japan,Asia,133.933334350586,34.6500015258789,Okayama
30001298,OKA,JP,Japan,Asia,127.983390808105,26.4716281890869,Okinawa
30001312,OSA,JP,Japan,Asia,135.5,34.6800003051758,Osaka
30001628,SPK,JP,Japan,Asia,141.339996337891,43.060001373291,Sapporo
30001812,TYO,JP,Japan,Asia,139.77000427246094,35.669998168945312,Tokyo
30001021,LFW,TG,Togo,Africa,1.22291564941406,6.13065528869629,Lome
30000052,ALA,KZ,Kazakhstan,Asia,76.9166641235352,43.0666656494141,Almaty
90486331,KSN,KZ,Kazakhstan,Asia,63.6315002441406,53.2174987792969,Kostanay
90486341,PWQ,KZ,Kazakhstan,Asia,76.9671249389648,52.2729873657227,Pavlodar
90486342,KGF,KZ,Kazakhstan,Asia,73.1658554077148,49.8326683044434,Karaganda
90486344,TSE,KZ,Kazakhstan,Asia,71.4475021362305,51.1795997619629,Astana
30000174,BEY,LB,Lebanon,Asia Minor,35.5134048461914,33.8871879577637,Beirut
30000139,BWN,BN,Brunei Darussalam,Asia,114.949996,4.929999,Bandar Seri Begawan
30000695,HRB,CN,China,Asia,126.650001525879,45.75,Harbin
90498021,CGQ,CN,China,Asia,125.30330657959,43.8843460083008,Changchun
30000931,KWI,KW,Kuwait,Asia Minor,47.9900016784668,29.3799991607666,Kuwait
30000126,BCD,PH,Philippines,Asia,122.970001220703,10.6300001144409,Bacolod
30000285,BXU,PH,Philippines,Asia,125.519996643066,8.93000030517578,Butuan
30000333,CEB,PH,Philippines,Asia,123.885437011719,10.3156995773315,Cebu
30000457,DVO,PH,Philippines,Asia,125.629997253418,7.1100001335144,Davao
30000768,ILO,PH,Philippines,Asia,122.550003051758,10.689998626709,Iloilo
30000840,KLO,PH,Philippines,Asia,122.360000610352,11.710000038147,Kalibo
30001082,MNL,PH,Philippines,Asia,120.966667175293,14.5833330154419,Manila
30001458,PPS,PH,Philippines,Asia,118.73999786377,9.73999881744385,Puerto Princesa
30001587,SJI,PH,Philippines,Asia,120.98999786377,15.7899990081787,San Jose
90486359,CRK,PH,Philippines,Asia,120.591598510742,15.1442003250122,Angeles City
90486478,DIL,TL,Timor Leste,Asia,125.587997436523,-8.56618976593018,Dili
90486619,CGY,PH,Philippines,Asia,124.630340576172,8.48076438903809,Cagayan De Oro City
90486622,GES,PH,Philippines,Asia,125.082855224609,6.13369941711426,General Santos City
30001202,MCT,OM,Oman,Asia Minor,58.5400009155273,23.6100006103516,Muscat
90488835,SLL,OM,Oman,Asia Minor,54.0897216796875,17.019721984863281,Salalah
30000477,DHA,SA,Saudi Arabia,Asia Minor,50.132999420166,26.3040008544922,Dhahran
30000815,JED,SA,Saudi Arabia,Asia Minor,39.169998,21.5,Jeddah
30001118,MED,SA,Saudi Arabia,Asia Minor,39.6201896667481,24.4608993530273,Medinah
30001517,XXN,SA,Saudi Arabia,Asia Minor,46.7700004577637,24.6499996185303,Riyadh
90486379,DMM,SA,Saudi Arabia,Asia Minor,50.1464691162109,26.4009246826172,Dammam
30000443,DAD,VN,Vietnam,Asia,108.209999084473,16.0699996948242,Da Nang
